k_star,model,stage,params,roc_auc_mean,pr_auc_mean,brier_mean,sens_mean,spec_mean,roc_auc_std,pr_auc_std,brier_std,sens_std,spec_std,calibrator
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 8}}",0.4208069858476362,0.18182396711472817,0.28477868232938935,1.0,0.35512820512820514,0.016763972693369853,0.02744756195576609,0.007763029561009696,0.0,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": ""scale"", ""class_weight"": {""0"": 1, ""1"": 12}}",0.40650406504065034,0.1766383853817971,0.2865331916095961,1.0,0.35512820512820514,0.02685070270587507,0.02403017747278143,0.007065871708382404,0.0,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.1, ""class_weight"": ""balanced""}",0.5669333677463758,0.2274458257541999,0.213176885223661,0.3611111111111111,0.7273504273504273,0.13384074971357648,0.04852472790270306,0.006441488636990082,0.10393492741038726,0.12386381876341394,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 2}}",0.4348948251387276,0.19537826024134838,0.267835700485529,0.611111111111111,0.4773504273504274,0.033083158930223476,0.026772861096996795,0.004725293867875174,0.28327886186626583,0.09784178468029438,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 3}}",0.3725211855293156,0.16299173753715143,0.26441073316158875,0.8333333333333334,0.4106837606837607,0.032946262145735664,0.021324819967097893,0.01592338042338365,0.23570226039551584,0.16963282121011927,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 5}}",0.41104228502602486,0.17577873389676704,0.28405237646509024,1.0,0.35512820512820514,0.010566961661492161,0.023239868003441414,0.0015778438296196492,0.0,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 8}}",0.3943089430894309,0.16719289303123272,0.2841433327736879,1.0,0.35512820512820514,0.008798700646492635,0.01827137508301922,0.0016099689748332988,0.0,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.1, ""class_weight"": {""0"": 1, ""1"": 12}}",0.41635479846861956,0.18600460540866223,0.28634128264385134,1.0,0.35512820512820514,0.016121848187144436,0.0395740673570565,0.0017474912230860864,0.0,0.18515767930724109,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": ""balanced""}",0.6167462468275476,0.2752293695353864,0.22885234926033668,0.3611111111111111,0.6782051282051281,0.057072754625155514,0.08773209862232659,0.009507670800333986,0.10393492741038726,0.21644276095666884,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 2}}",0.5136361681077127,0.22989202511177298,0.23728950888261766,0.3333333333333333,0.5517094017094017,0.13214513117837076,0.07243039467011132,0.023353776420779945,0.23570226039551584,0.11604905243019724,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 3}}",0.3990622445906999,0.20644213638322417,0.2618604511226887,0.8333333333333334,0.31837606837606836,0.062145108461983824,0.08684133121380457,0.008429588965275727,0.23570226039551584,0.2305514958887848,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 5}}",0.43538951262528497,0.2225387856999406,0.26697060507620435,1.0,0.235042735042735,0.05395997031122019,0.07357045572930594,0.01057938159015859,0.0,0.22508024072245628,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 8}}",0.4274099883855981,0.2194586849131548,0.2677736541412541,1.0,0.235042735042735,0.05269529621014052,0.07495404263774406,0.011449719861796964,0.0,0.22508024072245628,
10,svm_rbf,param_search,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 12}}",0.4273239557792403,0.2049847695950129,0.26878235535141853,1.0,0.235042735042735,0.06023078962129421,0.05336276454990607,0.012769314047907425,0.0,0.22508024072245628,
10,svm_rbf,calibration,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 5}}",0.4175377468060395,0.21178177368193296,0.2661015304678583,1.0,0.235042735042735,0.0635463352648759,0.08204014630741681,0.005837828033087168,0.0,0.22508024072245628,platt
10,svm_rbf,calibration,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 5}}",0.42996945842474305,0.1677457806542774,0.2687147608129153,0.4166666666666667,0.6405982905982907,0.06186123358251834,0.018821473749092273,0.020204146231284276,0.42491829279939874,0.11419296012712979,isotonic
10,svm_rbf,test_final,"{""C"": 10.0, ""gamma"": 0.01, ""class_weight"": {""0"": 1, ""1"": 5}}",0.44419642857142855,0.18937623860577468,0.2856634314013431,1.0,0.25,0.0,0.0,0.0,0.0,0.0,platt
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""class_weights"": ""balanced""}",0.4654148922441605,0.18750323870681693,0.22485666056199347,0.3611111111111111,0.7807692307692308,0.11205939352626934,0.035900342424497245,0.012480725458283803,0.10393492741038726,0.08753697443646957,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""class_weights"": [1, 2]}",0.43278702628296123,0.17678878301809955,0.306838019460869,0.7222222222222222,0.44957264957264953,0.0924534994961274,0.027075443663888032,0.01652187672157503,0.20786985482077452,0.12036421704125776,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""class_weights"": [1, 3]}",0.4433690368649718,0.17977567031712946,0.37049791078640565,0.8333333333333334,0.3239316239316239,0.08306658099068523,0.025910811462891804,0.019570379294924386,0.23570226039551584,0.1791245828695221,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""class_weights"": [1, 5]}",0.43181915946143584,0.17667733408404626,0.4628060802210569,1.0,0.2170940170940171,0.09364899155641154,0.027650061765069046,0.021943607508774898,0.0,0.12154194761009586,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""class_weights"": [1, 8]}",0.4273669720824193,0.17470519490153688,0.5452144000503109,1.0,0.05555555555555555,0.08977137126293824,0.025531380517653544,0.016344719373686326,0.0,0.07856742013183861,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""class_weights"": [1, 12]}",0.4326149610702456,0.17492921056525335,0.6193197877805104,1.0,0.05555555555555555,0.07741128274228355,0.0228631754031833,0.009141274354326342,0.0,0.07856742013183861,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.06, ""class_weights"": ""balanced""}",0.4540800963565192,0.1814732118163491,0.23650163816984382,0.3611111111111111,0.7807692307692308,0.08048473900857833,0.0245608903400433,0.00887697192605127,0.10393492741038726,0.08753697443646957,
10,catboost,param_search,"{""depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.06, ""class_weights"": [1, 2]}",0.4306792274271949,0.17736285146932432,0.3164014660998139,0.7222222222222222,0.4773504273504274,0.09894142013353464,0.0281522891237742,0.014777282348555736,0.20786985482077452,0.09784178468029438,
