n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.35,0.0,0.2,0.17100130021572113,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,0.5,0.0,0.16843193769454956,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.2,0.5,0.0,0.1629316359758377,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,1.0,0.0,0.15541154146194458,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.2,0.5,0.2,0.15093126893043518,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,0.0,0.0,0.33913323283195496,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,0.0,0.2,0.3281184434890747,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.0,0.0,0.2,0.32413655519485474,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.0,0.28425300121307373,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.0,0.0,0.0,0.24550870060920715,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
