meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
rf,1:2,1.0,500,8.0,2,5,8,0.45,True,0.18585363869156457,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:3,1.0,500,,2,5,8,0.45,True,0.18178304560442138,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:8,1.0,500,,1,5,8,0.45,True,0.15675,28,52,6,105,0.8235294117647058,0.6687898089171974,82.0,6.428571428571429,0,False,False,True,False
rf,1:3,1.0,500,5.0,1,5,8,0.45,True,0.23569962892643084,29,53,5,104,0.8529411764705882,0.6624203821656051,78.0,6.571428571428571,0,False,False,True,False
rf,1:2,1.0,200,3.0,4,5,8,0.45,True,0.32626072435772824,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:5,1.0,200,,4,5,8,0.45,True,0.26589386678284666,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:2,1.0,200,5.0,4,5,8,0.45,True,0.2527551374459473,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:2,1.0,500,5.0,4,5,8,0.45,True,0.2497376143235493,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:3,1.0,200,5.0,1,5,8,0.45,True,0.2443197853344165,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:2,1.0,200,5.0,1,5,8,0.45,True,0.22263674110934856,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,balanced,1.0,200,8.0,4,5,8,0.45,True,0.20195911653691906,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:3,1.0,500,8.0,2,5,8,0.45,True,0.18808345076763613,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:2,1.0,500,,2,5,8,0.45,True,0.18298699614369116,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:2,1.0,500,8.0,1,5,8,0.45,True,0.158046504733351,28,53,6,104,0.8235294117647058,0.6624203821656051,83.0,6.571428571428571,0,False,False,True,False
rf,1:3,1.0,500,5.0,2,5,8,0.45,True,0.24540422011214474,29,54,5,103,0.8529411764705882,0.6560509554140127,79.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,500,5.0,1,5,8,0.45,True,0.2082221376368146,29,54,5,103,0.8529411764705882,0.6560509554140127,79.0,6.714285714285714,0,False,False,True,False
rf,1:5,1.0,500,8.0,1,5,8,0.45,True,0.18249414490882473,29,54,5,103,0.8529411764705882,0.6560509554140127,79.0,6.714285714285714,0,False,False,True,False
rf,1:3,1.0,500,,1,5,8,0.45,True,0.15100000000000002,29,54,5,103,0.8529411764705882,0.6560509554140127,79.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,500,3.0,4,5,8,0.45,True,0.3202003067405311,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,200,5.0,2,5,8,0.45,True,0.22872919423940913,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,200,8.0,4,5,8,0.45,True,0.2272904420522841,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,200,,4,5,8,0.45,True,0.2269163459555369,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,500,5.0,2,5,8,0.45,True,0.2226654277416785,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:5,1.0,200,8.0,1,5,8,0.45,True,0.18451338278322307,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:2,1.0,500,,1,5,8,0.45,True,0.14775,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
