n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
350,2,0.05,6.0,0.9,0.7,2.0,0.0,6.0,0.0,0.0,0.5,0.3606792092323303,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,2.0,0.0,6.0,0.0,0.0,1.0,0.35843679308891296,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,4.0,0.0,6.0,0.0,0.0,0.5,0.35514143109321594,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.7,2.0,0.0,6.0,0.0,0.0,1.0,0.3520764112472534,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.7,6.0,0.0,5.0,0.0,0.0,0.5,0.35126790404319763,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.7,4.0,0.0,5.0,0.0,0.0,1.0,0.350861132144928,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.0,0.0,1.0,0.34736618399620056,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,6.0,0.0,6.0,0.0,0.0,1.0,0.3469754755496979,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
250,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,0.5,0.3463360071182251,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,2.0,0.0,5.0,0.0,0.0,1.0,0.3419923782348633,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
350,2,0.05,6.0,0.9,0.7,4.0,0.0,6.0,0.0,0.0,1.0,0.33968356251716614,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.7,4.0,0.0,6.0,0.0,0.0,0.5,0.3372579514980316,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
300,2,0.05,6.0,0.9,0.8,2.0,0.0,6.0,0.0,0.0,0.5,0.3355049788951874,29,27,130,5,0.8529411764705882,0.8280254777070064,0.14705882352941177,0.17197452229299362,5.0,False
