model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,50,3,0.05,2.0,0.9,0.8,1.0,0.2,0.16745495796203613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,2.0,0.9,0.8,1.0,0.0,0.16745495796203613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,2.0,0.9,0.8,1.0,0.2,0.16745495796203613,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.8,3.0,0.2,0.1674073040485382,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.8,3.0,0.2,0.1674073040485382,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,1.0,0.0,0.16638833284378052,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,1.0,0.0,0.16638833284378052,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.9,1.0,0.2,0.16612912714481354,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,2.0,0.9,0.9,1.0,0.2,0.16612912714481354,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.03,2.0,0.9,0.8,1.0,0.2,0.16550754010677338,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.9,3.0,0.0,0.16309621930122375,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.9,3.0,0.0,0.16309621930122375,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.9,3.0,0.2,0.15834684669971466,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.9,3.0,0.2,0.15834684669971466,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.9,3.0,0.0,0.15663394331932068,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.9,3.0,0.0,0.15663394331932068,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.9,3.0,0.2,0.15509112179279327,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.9,3.0,0.2,0.15509112179279327,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,1.0,0.85,0.9,1.0,0.0,0.14676758646965027,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,1.0,0.9,0.8,1.0,0.0,0.14267073571681976,30,32,4,125,0.8823529411764706,0.7961783439490446
