meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:9,0.0,0,,0,400,5,0.05,0.35,0.13999538939735473,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,5,0.03,0.35,0.1382498999489093,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.05,0.3,0.13626823281807499,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.05,0.35,0.13303943132195,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.05,0.35,0.11571413962710532,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.3,0.09660823518283297,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.05,0.3,0.09032522420972879,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.05,0.3,0.07653281121017393,3,1,28,45,6,112,0.8235294117647058,0.7133757961783439,117.0,5.428571428571429,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,6,0.03,0.4,0.24881356937658322,3,1,29,46,5,111,0.8529411764705882,0.7070063694267515,106.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.05,0.35,0.11666713893659834,3,1,29,46,5,111,0.8529411764705882,0.7070063694267515,106.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.05,0.35,0.10530984063640014,3,1,29,46,5,111,0.8529411764705882,0.7070063694267515,106.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,6,0.03,0.4,0.2828945913323692,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,6,0.03,0.3,0.20611908900747394,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,6,0.03,0.3,0.14453142000660119,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,5,0.03,0.3,0.13885267535002097,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,6,0.03,0.3,0.1309040557791565,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.05,0.3,0.12204435693423367,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.05,0.3,0.10911935326566075,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,6,0.05,0.3,0.10695708923040044,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.05,0.3,0.10252799101267501,3,1,28,46,6,111,0.8235294117647058,0.7070063694267515,118.0,5.571428571428571,0,False,False,True,False,coarse
