meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
rf,1:5,1.0,200,8.0,4,5,8,0.45,True,0.27669380804238336,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
rf,1:5,1.0,200,,4,5,8,0.45,True,0.2713626181719736,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
rf,1:2,1.0,200,5.0,2,5,8,0.45,True,0.23341068870744544,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
rf,1:8,1.0,200,8.0,1,5,8,0.45,True,0.23281146904555336,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
logreg,1:12,0.5,0,,0,5,8,0.45,True,0.21975203917956762,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
logreg,1:8,0.5,0,,0,5,8,0.45,True,0.2002695331190197,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
logreg,1:5,0.5,0,,0,5,8,0.45,True,0.17763269559127398,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
logreg,1:5,1.0,0,,0,5,8,0.45,True,0.1286456149159291,27,51,7,106,0.7941176470588235,0.6751592356687898,135.0,6.285714285714286,False,False,False
rf,1:3,1.0,200,5.0,4,5,8,0.45,True,0.2777738472643655,28,52,6,105,0.8235294117647058,0.6687898089171974,124.0,6.428571428571429,False,False,False
rf,1:3,1.0,500,3.0,4,5,8,0.45,True,0.3838813090985411,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:3,1.0,200,3.0,4,5,8,0.45,True,0.3806447105251683,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:3,1.0,200,3.0,2,5,8,0.45,True,0.3766975423088488,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:3,1.0,200,3.0,1,5,8,0.45,True,0.3764955353432004,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:8,1.0,500,,4,5,8,0.45,True,0.2924563643051423,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:3,1.0,500,5.0,2,5,8,0.45,True,0.2515420794292681,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:3,1.0,200,5.0,1,5,8,0.45,True,0.2490927995847199,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
