meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.21129814783732095,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.4690593083699544,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.46705886721611023,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.4641592601935069,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.46217520038286847,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.41078871488571167,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.4056171675523122,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3928498526414235,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.39083901047706604,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.38043402632077533,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.37963815530141193,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.35520100593566895,28,35,6,122,0.8235294117647058,0.7770700636942676,65.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3619557023048401,28,36,6,121,0.8235294117647058,0.7707006369426752,66.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3534152905146281,28,36,6,121,0.8235294117647058,0.7707006369426752,66.0,5.0,0,False,False,True,False
