threshold,tp,fp,fn,tn,sensitivity,specificity,fpr,fnr
0.1826146737874383,20,38,14,119,0.5882352941176471,0.7579617834394905,0.24203821656050956,0.4117647058823529
0.1826624868568303,20,37,14,120,0.5882352941176471,0.7643312101910829,0.2356687898089172,0.4117647058823529
0.1830593002248986,20,36,14,121,0.5882352941176471,0.7707006369426752,0.22929936305732485,0.4117647058823529
0.1830896991246959,20,35,14,122,0.5882352941176471,0.7770700636942676,0.2229299363057325,0.4117647058823529
0.1831388354381128,20,34,14,123,0.5882352941176471,0.7834394904458599,0.21656050955414013,0.4117647058823529
0.1832723791676135,20,33,14,124,0.5882352941176471,0.7898089171974523,0.21019108280254778,0.4117647058823529
0.1833365281080371,19,33,15,124,0.5588235294117647,0.7898089171974523,0.21019108280254778,0.4411764705882353
0.1833813170221338,19,32,15,125,0.5588235294117647,0.7961783439490446,0.20382165605095542,0.4411764705882353
0.1835904324819717,19,31,15,126,0.5588235294117647,0.802547770700637,0.19745222929936307,0.4411764705882353
0.1838344521279813,19,30,15,127,0.5588235294117647,0.8089171974522293,0.1910828025477707,0.4411764705882353
0.1846625058218783,19,29,15,128,0.5588235294117647,0.8152866242038217,0.18471337579617833,0.4411764705882353
0.1847376404939129,19,28,15,129,0.5588235294117647,0.821656050955414,0.17834394904458598,0.4411764705882353
0.1851286921513771,19,27,15,130,0.5588235294117647,0.8280254777070064,0.17197452229299362,0.4411764705882353
0.1852184623901334,19,26,15,131,0.5588235294117647,0.8343949044585988,0.16560509554140126,0.4411764705882353
0.1854003525853623,19,25,15,132,0.5588235294117647,0.8407643312101911,0.1592356687898089,0.4411764705882353
0.1866534900044122,19,24,15,133,0.5588235294117647,0.8471337579617835,0.15286624203821655,0.4411764705882353
0.1918291039839164,19,23,15,134,0.5588235294117647,0.8535031847133758,0.1464968152866242,0.4411764705882353
0.2365139196740416,19,22,15,135,0.5588235294117647,0.8598726114649682,0.14012738853503184,0.4411764705882353
0.238095238095238,19,21,15,136,0.5588235294117647,0.8662420382165605,0.1337579617834395,0.4411764705882353
0.2453705421948847,19,16,15,141,0.5588235294117647,0.8980891719745223,0.10191082802547771,0.4411764705882353
0.2768930908791759,19,15,15,142,0.5588235294117647,0.9044585987261147,0.09554140127388536,0.4411764705882353
0.2777777777777778,19,14,15,143,0.5588235294117647,0.910828025477707,0.08917197452229299,0.4411764705882353
0.290238120210101,15,12,19,145,0.4411764705882353,0.9235668789808917,0.07643312101910828,0.5588235294117647
0.3104036939689543,15,11,19,146,0.4411764705882353,0.9299363057324841,0.07006369426751592,0.5588235294117647
0.3116184128927002,14,11,20,146,0.4117647058823529,0.9299363057324841,0.07006369426751592,0.5882352941176471
0.3117112406302922,14,10,20,147,0.4117647058823529,0.9363057324840764,0.06369426751592357,0.5882352941176471
0.3333333333333333,13,10,21,147,0.38235294117647056,0.9363057324840764,0.06369426751592357,0.6176470588235294
0.3668525085492942,13,9,21,148,0.38235294117647056,0.9426751592356688,0.05732484076433121,0.6176470588235294
0.4001421258190606,12,9,22,148,0.35294117647058826,0.9426751592356688,0.05732484076433121,0.6470588235294118
0.4440322890041233,11,9,23,148,0.3235294117647059,0.9426751592356688,0.05732484076433121,0.6764705882352942
0.4541468523085795,10,9,24,148,0.29411764705882354,0.9426751592356688,0.05732484076433121,0.7058823529411765
0.5,9,9,25,148,0.2647058823529412,0.9426751592356688,0.05732484076433121,0.7352941176470589
0.5348863903878787,8,9,26,148,0.23529411764705882,0.9426751592356688,0.05732484076433121,0.7647058823529411
0.5379874453943251,8,8,26,149,0.23529411764705882,0.9490445859872612,0.050955414012738856,0.7647058823529411
0.5497420861290915,8,7,26,150,0.23529411764705882,0.9554140127388535,0.044585987261146494,0.7647058823529411
0.5622516466781792,7,7,27,150,0.20588235294117646,0.9554140127388535,0.044585987261146494,0.7941176470588235
0.5652173913043478,6,7,28,150,0.17647058823529413,0.9554140127388535,0.044585987261146494,0.8235294117647058
0.5714388125034312,5,3,29,154,0.14705882352941177,0.9808917197452229,0.01910828025477707,0.8529411764705882
0.5833333333333334,4,3,30,154,0.11764705882352941,0.9808917197452229,0.01910828025477707,0.8823529411764706
0.625,1,2,33,155,0.029411764705882353,0.9872611464968153,0.012738853503184714,0.9705882352941176
1.0,0,0,34,157,0.0,1.0,0.0,1.0
