n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.29383987188339233,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,6.0,0.8,0.7,4.0,0.0,4.0,0.2914603054523468,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.26372045278549194,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,3.5,0.26218339800834656,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.8,0.7,6.0,0.0,3.5,0.2596779465675354,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,3.5,0.2562333941459656,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.8,0.7,6.0,0.0,4.0,0.2526719570159912,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,3,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.25158682465553284,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.9,0.8,6.0,0.0,4.0,0.2513008713722229,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.9,0.7,6.0,0.0,4.5,0.24519523978233337,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.9,0.7,6.0,0.0,4.5,0.24465541541576385,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.9,0.7,6.0,0.0,4.0,0.23877476155757904,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.9,0.8,6.0,0.0,4.5,0.23723632097244263,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,3,0.05,4.0,0.8,0.8,6.0,0.0,4.0,0.23530225455760956,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.23339307308197021,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.9,0.8,6.0,0.0,4.0,0.23285143077373505,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
250,3,0.05,4.0,0.8,0.7,4.0,0.0,4.5,0.22953484952449799,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,4.0,0.8,0.8,4.0,0.0,4.0,0.22572846710681915,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,3,0.05,4.0,0.9,0.8,6.0,0.0,4.5,0.225531205534935,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,3,0.05,4.0,0.8,0.7,4.0,0.0,3.5,0.211420938372612,29,32,125,5,0.8529411764705882,0.7961783439490446,0.14705882352941177,0.20382165605095542,5.0,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.33913323283195496,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,6.0,0.9,0.7,6.0,0.0,4.0,0.324381560087204,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,6.0,0.9,0.7,6.0,0.0,4.5,0.3230079710483551,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,6.0,0.9,0.8,6.0,0.0,4.0,0.32061347365379333,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,3,0.05,6.0,0.9,0.7,4.0,0.0,4.0,0.3062642216682434,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,3,0.05,6.0,0.8,0.7,6.0,0.0,4.0,0.30442386865615845,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,6.0,0.9,0.8,4.0,0.0,3.5,0.2919637858867645,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,3,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.29061004519462585,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,3,0.05,6.0,0.9,0.7,4.0,0.0,4.5,0.2850155830383301,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.28425300121307373,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,3,0.05,6.0,0.8,0.7,6.0,0.0,4.0,0.2733955979347229,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,4.0,0.8,0.7,6.0,0.0,3.5,0.25721094012260437,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,2,0.05,6.0,0.8,0.7,4.0,0.0,3.5,0.24925756454467773,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,2,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.24550870060920715,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
250,2,0.05,4.0,0.9,0.7,6.0,0.0,4.0,0.2443895787000656,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,3,0.05,4.0,0.8,0.7,6.0,0.0,4.0,0.2276962399482727,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,3,0.05,4.0,0.8,0.7,4.0,0.0,4.5,0.20934359729290009,29,33,124,5,0.8529411764705882,0.7898089171974523,0.14705882352941177,0.21019108280254778,5.0,False
300,3,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.3137072026729584,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
250,3,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.30562537908554077,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
250,3,0.05,6.0,0.9,0.8,6.0,0.0,3.5,0.29176267981529236,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
300,2,0.05,6.0,0.9,0.7,4.0,0.0,4.5,0.2856731712818146,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
300,3,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.2795446515083313,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
300,3,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.2612147629261017,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
250,3,0.05,6.0,0.9,0.7,4.0,0.0,3.5,0.2582608759403229,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
300,2,0.05,4.0,0.8,0.7,6.0,0.0,4.5,0.25306588411331177,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
250,3,0.05,4.0,0.9,0.7,6.0,0.0,4.0,0.2458706796169281,29,34,123,5,0.8529411764705882,0.7834394904458599,0.14705882352941177,0.21656050955414013,5.0,False
